"peak","3h-Mon-Rep1","3h-Mon-Rep2","3h-Mon-Rep3","6h-Mon-Rep1","6h-Mon-Rep2","6h-Mon-Rep3","12h-Mon-Rep1","12h-Mon-Rep2","12h-Mon-Rep3"
"chr2_139790766_139791299",8,19,13,5,10,11,15,5,24
"chr2_139864744_139865281",14,86,86,22,27,62,45,14,70
"chr2_139873179_139873721",12,44,45,14,20,30,15,8,29
"chr2_140586315_140586837",5,25,30,3,17,24,21,9,41
"chr2_140734887_140735422",8,24,22,7,10,15,20,9,35
"chr2_141497277_141497782",10,19,22,10,6,20,11,1,18
"chr2_141534575_141535189",3,37,26,9,9,14,12,6,17
"chr2_141554722_141555278",8,38,29,7,14,25,20,5,30
"chr2_141557183_141557763",27,82,95,25,53,92,85,22,129
"chr2_142165623_142166151",8,22,12,8,10,13,5,1,10
"chr2_142185838_142186399",15,52,69,19,40,48,30,12,68
"chr2_142321768_142322435",21,43,28,13,20,35,24,8,38
"chr2_142695300_142695868",10,68,58,12,30,47,51,6,71
"chr2_142865874_142866401",16,27,16,5,19,15,16,3,23
"chr2_143030053_143030575",3,21,13,4,10,15,21,9,33
"chr2_143034286_143034792",9,24,21,6,8,18,19,4,37
"chr2_143068454_143068960",12,28,28,9,11,24,21,3,58
"chr2_143128560_143129555",19,64,59,20,34,56,27,7,65
"chr2_143150257_143150783",8,27,23,15,10,22,14,7,28
"chr2_143217638_143218266",9,32,40,15,14,35,24,10,54
"chr2_143261877_143262432",5,21,17,11,7,25,18,6,35
"chr2_143422550_143423125",6,24,19,9,10,17,22,8,27
"chr2_143942383_143942997",5,20,16,3,6,12,15,9,15
"chr2_144237825_144238373",5,35,23,24,11,39,19,2,34
"chr2_144331807_144332945",10,94,53,34,48,60,42,10,84
"chr2_144382743_144383397",28,85,89,32,33,102,66,16,166
"chr2_144414379_144414979",10,22,17,4,13,29,19,8,47
"chr2_144456554_144457160",7,16,24,15,7,25,15,7,48
"chr2_144703746_144704468",31,96,98,45,39,81,66,15,121
"chr2_145259085_145259660",12,21,27,11,8,31,16,8,35
"chr2_145692857_145693518",29,97,98,33,40,80,68,26,128
"chr2_146733937_146734473",10,27,38,9,21,51,34,10,48
"chr2_147560783_147561612",13,60,39,12,27,34,18,5,40
"chr2_147689404_147690059",12,58,56,16,27,49,34,8,63
"chr2_148019978_148021198",31,114,98,51,60,98,72,17,141
"chr2_148509163_148509918",7,32,26,10,20,28,26,8,37
"chr2_148546167_148546785",15,55,37,17,12,57,30,13,80
"chr2_148614104_148614729",5,30,15,6,10,16,8,8,25
"chr2_148644942_148645690",30,90,93,28,35,61,48,18,110
"chr2_148926550_148927563",17,44,26,15,18,16,19,4,30
"chr2_148965705_148966656",17,33,33,14,16,26,31,10,58
"chr2_149152445_149153121",12,62,39,13,16,28,31,8,55
"chr2_149160812_149162016",24,73,63,17,38,50,39,8,74
"chr2_149167285_149167891",8,35,22,12,5,22,17,4,27
"chr2_149587081_149588085",25,87,82,42,65,88,74,24,111
"chr2_149597471_149597970",1,23,14,4,10,11,6,4,21
"chr2_149858644_149859681",20,58,68,29,27,55,37,14,80
"chr2_149894630_149895215",46,134,151,39,79,106,103,21,173
"chr2_150487475_150488072",7,26,17,7,9,19,8,7,23
"chr2_150681272_150681938",20,64,70,19,31,55,45,23,77
"chr2_150911632_150912440",25,85,102,23,33,72,43,16,106
"chr2_151261148_151262180",20,73,55,27,32,60,46,14,71
"chr2_151287985_151288640",12,35,23,15,15,24,25,9,48
"chr2_151347793_151348407",3,20,15,7,10,20,7,8,15
"chr2_151363599_151364146",9,22,22,5,11,25,10,3,30
"chr2_151409607_151410404",15,60,49,21,37,54,35,8,62
"chr2_151637055_151637851",20,100,66,32,28,56,35,15,87
"chr2_151827990_151828867",24,81,54,35,43,42,37,6,87
"chr2_151922735_151923740",18,39,32,19,17,41,23,6,45
"chr2_152030714_152031399",8,18,23,8,13,22,10,8,40
"chr2_152089126_152089723",9,25,19,15,10,33,14,7,50
"chr2_152175206_152176352",36,132,93,52,63,108,58,14,118
"chr2_152334796_152335564",13,46,27,16,9,27,20,7,46
"chr2_152421487_152422012",7,41,29,16,12,27,14,5,41
"chr2_152466759_152467328",10,19,14,7,13,15,9,3,25
"chr2_152468891_152469536",12,37,25,9,15,39,18,5,43
"chr2_152537133_152537687",9,38,31,14,12,42,33,10,72
"chr2_152573151_152573686",10,22,26,3,9,24,9,2,29
"chr2_152611700_152612403",18,78,56,24,26,70,56,16,109
"chr2_152717112_152718822",100,401,353,151,157,325,156,45,379
"chr2_152730482_152731086",12,40,48,20,21,55,38,13,72
"chr2_152925684_152926382",12,49,45,12,27,33,21,10,43
"chr2_153478414_153479170",16,64,42,13,26,41,20,5,44
"chr2_153939657_153940216",5,32,22,9,10,13,16,3,37
"chr2_154914457_154915002",4,26,31,2,15,17,14,8,23
"chr2_155690736_155691288",3,33,20,12,15,21,17,2,36
"chr2_155980854_155981599",3,18,17,10,11,17,17,3,18
"chr2_156110773_156111305",9,29,39,6,14,20,17,9,35
"chr2_156309016_156309670",4,12,16,6,9,14,16,7,20
"chr2_156331746_156332299",19,81,85,21,24,61,39,21,92
"chr2_156332418_156333109",27,105,97,31,34,80,46,14,89
"chr2_156341124_156342153",35,110,87,38,38,75,55,20,76
"chr2_156342226_156342872",15,52,44,13,20,47,19,8,69
"chr2_156400493_156401360",16,67,71,13,24,49,28,9,66
"chr2_156405468_156406116",32,141,117,43,49,105,73,29,172
"chr2_156436058_156436650",14,48,33,18,6,35,19,1,46
"chr2_156437248_156437747",5,21,11,12,5,18,8,4,37
"chr2_156470976_156471682",18,41,33,15,20,24,36,5,41
"chr2_156657759_156658355",15,60,67,21,23,53,45,15,81
"chr2_157269868_157270391",10,19,22,4,16,16,17,6,22
"chr2_157420708_157421345",17,83,105,21,38,74,47,19,104
"chr2_157441505_157442138",12,44,43,14,18,44,22,8,55
"chr2_157443831_157444450",19,49,38,18,12,35,28,4,59
"chr2_157452980_157454169",18,82,90,30,28,81,47,10,98
"chr2_157468773_157469870",26,76,93,26,41,64,46,12,112
"chr2_157508690_157509266",6,36,20,10,14,29,16,6,34
"chr2_157838400_157838938",6,17,23,13,8,19,10,10,10
"chr2_157876117_157876780",14,52,32,13,27,39,27,6,54
"chr2_158214375_158214918",13,28,31,17,12,35,20,7,46
"chr2_158456464_158457042",21,63,66,34,38,45,36,13,87
"chr2_158457179_158458349",42,150,103,39,38,83,35,15,92
"chr2_159286527_159287359",14,84,52,28,30,49,24,6,68
"chr2_159615318_159615824",5,20,10,7,8,11,4,6,10
"chr2_159711948_159712750",21,84,66,30,40,47,22,12,84
"chr2_159753701_159754200",2,8,4,6,3,12,7,4,15
"chr2_159801826_159802440",4,13,15,13,12,17,11,2,15
"chr2_159904461_159905388",12,68,38,27,25,38,31,8,62
"chr2_159933545_159934177",8,18,12,7,7,17,9,1,16
"chr2_160269678_160270455",14,28,28,13,21,27,10,3,30
"chr2_160406666_160407522",7,28,22,15,17,28,19,9,30
"chr2_160570327_160570851",8,27,19,9,15,21,16,4,21
"chr2_160703745_160704788",16,35,19,18,19,32,23,7,47
"chr2_161077113_161078351",11,60,44,22,26,51,27,7,65
"chr2_161159946_161161426",38,120,74,33,43,96,54,20,142
"chr2_161308099_161308762",27,80,101,39,41,98,60,18,139
"chr2_161414343_161415216",10,32,25,9,15,33,14,7,18
"chr2_162113426_162114212",21,71,65,23,19,39,37,12,82
"chr2_162126007_162126636",5,32,32,7,17,30,14,8,44
"chr2_162233063_162233660",12,49,46,20,17,28,25,13,52
"chr2_162252066_162252567",10,23,19,5,4,11,12,3,29
"chr2_162261446_162262085",14,54,33,16,29,27,30,8,43
"chr2_162317599_162318229",7,23,13,11,15,20,8,2,26
"chr2_162318458_162319281",25,84,64,24,40,61,39,11,84
"chr2_162343723_162344404",65,251,256,88,116,209,125,37,275
"chr2_162917502_162918078",22,97,79,28,36,64,43,20,100
"chr2_162928247_162928842",21,88,61,19,25,45,43,13,66
"chr2_163077094_163077640",18,66,71,11,33,64,42,8,90
"chr2_163155187_163155686",7,12,20,2,10,17,9,1,17
"chr2_163347922_163349507",40,145,105,35,64,112,58,19,133
"chr2_164599870_164600430",11,33,29,6,15,21,23,7,30
"chr2_164737498_164738062",1,26,15,8,19,25,10,9,16
"chr2_164841174_164842418",24,86,65,22,32,49,37,13,56
"chr2_164850117_164850732",11,42,51,13,18,28,14,7,55
"chr2_165016715_165017241",4,17,9,5,9,12,12,5,16
"chr2_165293615_165294204",14,52,37,22,18,41,26,6,58
"chr2_165328244_165328766",11,21,14,4,13,17,10,1,12
"chr2_165661680_165662205",9,25,22,3,13,11,16,8,40
"chr2_165743363_165743929",15,49,28,10,17,36,27,5,52
"chr2_165794164_165795004",37,151,91,32,32,84,62,16,109
"chr2_165897512_165898239",10,31,20,13,13,22,16,3,25
"chr2_165953486_165954493",65,231,195,67,81,164,108,34,189
"chr2_166181486_166182020",6,23,35,12,14,23,19,5,29
"chr2_166375163_166376560",25,65,54,22,45,38,24,8,36
"chr2_166417606_166418105",7,16,12,3,9,16,15,5,14
"chr2_166468286_166469097",10,69,58,18,30,52,33,7,54
"chr2_167196328_167196918",22,69,50,20,27,36,36,11,59
"chr2_167249088_167249686",10,33,35,17,21,36,17,8,44
"chr2_168211046_168211588",11,32,29,12,15,31,18,9,48
"chr2_168246292_168246916",10,36,16,9,8,20,13,6,25
"chr2_168455476_168456470",21,93,70,29,25,82,32,15,89
"chr2_168489844_168490954",25,39,27,17,24,43,27,11,55
"chr2_168550654_168551220",15,41,41,23,9,42,22,11,49
"chr2_168648917_168649522",2,12,8,7,5,16,7,6,20
"chr2_168685861_168686467",15,38,34,9,18,49,30,11,67
"chr2_169069283_169069847",10,31,22,8,11,26,18,3,47
"chr2_169479178_169479766",7,27,30,19,20,22,13,4,30
"chr2_169573573_169574212",7,35,30,21,16,30,27,10,59
"chr2_169584093_169585031",9,42,30,18,16,37,21,7,42
"chr2_169694197_169694808",16,58,23,21,20,37,21,2,42
"chr2_169798493_169799331",13,31,17,10,16,22,5,6,22
"chr2_169827109_169827693",6,19,18,11,13,22,13,3,35
"chr2_170928644_170929457",26,95,71,41,54,90,52,11,107
"chr2_171433772_171434425",18,88,63,27,35,64,29,17,94
"chr2_171687157_171687913",8,22,21,11,15,21,11,2,26
"chr2_171922047_171922768",11,41,38,15,18,21,18,7,41
"chr2_171999549_172000219",10,47,20,10,16,23,12,2,34
"chr2_172196668_172197298",8,23,21,11,13,22,15,3,32
"chr2_172280740_172281281",3,36,20,10,13,31,17,10,45
"chr2_172555403_172556666",24,86,66,25,52,65,44,14,81
"chr2_173264554_173265133",3,17,26,9,11,16,17,3,27
"chr2_173354366_173355080",9,20,18,11,11,15,9,2,13
"chr2_173963741_173964292",10,37,25,14,31,20,21,5,30
"chr2_173965159_173965828",17,51,31,23,26,32,24,9,43
"chr2_174031840_174032563",7,30,9,16,18,12,11,4,24
"chr2_174248089_174249018",16,67,41,27,24,36,26,9,54
"chr2_174486671_174487640",23,32,32,27,24,35,30,6,52
"chr2_174634399_174635109",13,23,22,14,14,20,14,6,25
"chr2_175168084_175168749",37,109,94,51,48,87,51,15,107
"chr2_175180908_175182008",21,52,25,18,23,26,19,5,28
"chr2_175463360_175464333",18,45,40,23,20,33,35,10,59
"chr2_176001807_176002543",10,56,47,16,20,26,17,6,30
"chr2_176269114_176269887",15,45,30,26,18,28,15,4,44
"chr2_177212201_177213500",30,123,107,41,73,96,51,18,119
"chr2_177239860_177240465",7,28,15,20,14,31,15,10,33
"chr2_177263278_177263964",18,57,38,18,22,36,15,16,36
"chr2_177264512_177265129",11,56,30,17,10,20,16,6,50
"chr2_177281252_177281935",14,47,41,25,12,45,27,9,69
"chr2_177552511_177553295",19,66,61,23,28,46,24,8,60
"chr2_177618292_177619289",18,55,46,20,26,51,26,7,67
"chr2_177785014_177785566",7,12,10,7,16,8,7,6,27
"chr2_178112080_178112901",19,83,54,30,42,57,38,13,73
"chr2_178413396_178414184",24,57,49,19,20,34,28,6,45
"chr2_178414539_178415175",23,77,74,27,41,67,48,13,96
"chr2_178450630_178451502",45,161,124,64,72,154,91,31,190
"chr2_178480120_178480722",20,65,46,25,37,54,29,11,66
"chr2_178530034_178531220",13,57,58,14,25,64,33,16,86
"chr2_178914136_178914745",11,30,21,16,17,19,26,11,21
"chr2_179049489_179050148",7,38,29,5,14,20,20,7,24
"chr2_179104632_179105277",9,28,23,7,14,20,17,12,32
"chr2_179268231_179269014",7,40,30,21,15,22,16,9,36
"chr2_180001653_180001844",3,2,4,0,1,4,7,5,10
"chr2_180006845_180007640",33,147,119,33,57,96,55,22,136
"chr2_180125467_180126066",8,12,12,6,14,21,17,6,28
"chr2_180443733_180444290",14,59,68,16,28,60,42,11,80
"chr2_180523543_180524073",6,28,8,6,8,13,7,6,14
"chr2_180539431_180540027",16,51,48,10,22,34,22,13,53
"chr2_180559691_180560225",11,39,36,8,15,33,14,9,44
"chr2_180707642_180708285",19,41,35,9,17,35,19,8,39
"chr2_180730870_180731434",6,18,16,8,7,15,7,7,25
"chr2_180979798_180981048",22,126,80,25,36,81,36,11,90
"chr2_181252120_181252670",7,12,5,6,9,11,6,5,27
"chr2_181305492_181306175",21,104,93,28,23,66,42,14,101
"chr2_181352080_181352625",8,24,17,12,12,19,16,5,31
"chr2_181406972_181407669",9,34,34,15,13,35,23,7,44
"chr2_181430710_181431260",5,10,15,3,4,20,7,5,31
"chr2_181456543_181457636",20,116,72,35,42,92,53,19,94
"chr2_181697506_181698036",6,14,12,11,5,16,18,7,23
"chr2_181805578_181806159",8,24,18,15,7,20,13,7,30
"chr2_181891317_181892817",41,146,104,48,50,93,65,24,100
"chr2_181937406_181937951",8,24,34,13,7,28,19,8,51
"chr2_182097749_182098248",0,9,13,8,9,8,5,2,9
"chr2_182426261_182427136",9,42,23,8,19,16,14,10,27
"chr2_182540174_182540737",11,33,39,12,21,22,15,8,40
"chr2_182713524_182714096",14,57,53,18,19,46,33,16,61
"chr2_182715605_182716573",32,152,102,34,67,91,61,18,122
"chr2_183078241_183079225",17,74,62,19,33,38,22,6,65
"chr2_183124105_183125153",36,107,80,20,37,56,38,6,70
"chr2_183249043_183249175",1,7,10,6,5,7,2,2,10
"chr2_184577663_184578239",10,27,33,11,14,30,15,3,34
"chr2_184596678_184597293",15,66,72,22,35,76,57,23,85
"chr2_184599903_184600136",6,31,16,9,8,20,16,6,28
"chr2_186477740_186478290",3,25,24,4,8,28,18,8,41
"chr2_186485823_186486504",34,171,152,61,85,130,93,34,203
"chr2_186575182_186575753",13,20,39,14,21,28,28,12,48
"chr2_186589658_186590311",36,173,137,58,60,114,71,28,155
"chr2_186693723_186694565",18,62,44,20,33,35,23,10,47
"chr2_186849125_186849768",5,27,19,8,14,29,11,6,29
"chr2_186913735_186914317",10,36,44,18,25,28,26,10,52
"chr2_186925416_186925946",7,25,30,10,12,21,11,3,36
"chr2_187475403_187475934",7,29,26,7,10,34,16,4,47
"chr2_187586221_187586836",19,81,97,26,45,92,79,13,98
"chr2_187843153_187843775",13,25,13,3,8,9,16,3,16
"chr2_187982546_187983090",19,79,85,12,33,56,53,13,84
"chr2_188181308_188181846",5,23,28,8,10,22,24,7,23
"chr2_189143008_189143614",14,36,50,14,22,40,29,9,53
"chr2_189404239_189404802",8,16,14,4,7,17,11,6,24
"chr2_189440624_189441698",52,185,155,70,68,150,80,13,167
"chr2_189516489_189516988",8,12,14,2,4,12,15,2,9
"chr2_189660997_189661673",30,148,138,51,104,128,93,29,153
"chr2_189674010_189674927",18,71,76,36,32,78,35,9,84
"chr2_189762348_189763447",20,82,66,26,27,81,41,7,85
"chr2_189783732_189784720",51,210,175,55,84,160,78,23,184
"chr2_190319575_190320242",34,136,101,42,74,129,72,28,171
"chr2_190343550_190344424",21,50,43,15,25,28,19,9,63
"chr2_190534117_190535150",22,91,49,21,29,36,24,7,67
"chr2_190880391_190881047",25,102,71,33,38,73,42,14,92
"chr2_191013577_191014552",26,101,85,46,47,85,43,12,98
"chr2_191020079_191020964",22,107,87,32,50,89,51,22,100
"chr2_191052040_191052567",6,14,10,4,5,17,8,4,22
"chr2_191193784_191194323",7,29,30,6,12,34,14,7,35
"chr2_191222341_191222978",15,57,34,22,17,37,37,6,66
"chr2_191377158_191377726",7,40,28,10,13,20,16,6,31
"chr2_191436302_191437196",16,62,52,16,25,50,33,14,63
"chr2_191554978_191555537",4,17,15,7,14,18,12,4,27
"chr2_191565497_191566070",7,29,23,6,13,24,18,6,37
"chr2_191611453_191612112",5,35,44,18,16,29,14,6,36
"chr2_191666618_191667228",13,33,33,11,12,34,16,5,30
"chr2_191675747_191676299",12,44,44,11,15,38,31,15,49
"chr2_191677635_191678416",34,155,118,53,46,100,62,19,157
"chr2_191758827_191759385",8,44,48,22,24,35,38,10,49
"chr2_191866807_191867501",8,31,24,6,8,17,12,6,10
"chr2_192500640_192501317",23,111,134,26,53,97,75,30,138
"chr2_193271542_193272709",17,72,90,24,55,72,49,23,101
"chr2_193492097_193492741",6,30,30,12,15,28,28,5,39
"chr2_193584540_193585078",6,23,24,9,13,24,15,7,33
"chr2_193695322_193695830",5,13,12,5,5,11,20,7,16
"chr2_193907465_193908021",5,30,45,9,17,37,20,11,38
"chr2_194060082_194060838",11,31,28,4,14,20,15,8,23
"chr2_194104594_194105167",26,95,79,26,45,61,52,18,88
"chr2_195486867_195487491",11,42,60,17,21,55,37,15,81
"chr2_195536090_195536684",12,31,39,29,13,41,20,8,64
"chr2_195580051_195580606",5,36,28,16,14,28,14,5,39
"chr2_195656685_195657427",62,247,257,69,103,178,143,41,289
"chr2_195863417_195864041",15,34,24,12,23,43,18,10,46
"chr2_195961776_195962356",15,36,24,6,21,36,29,11,45
"chr2_196068147_196068927",14,48,41,29,24,41,33,8,53
"chr2_196160039_196160569",11,20,20,8,13,21,10,5,37
"chr2_196171021_196171879",15,68,32,26,23,53,38,6,65
"chr2_196211070_196211735",12,54,51,25,20,50,26,12,69
"chr2_196242065_196242791",33,136,114,43,49,98,85,34,175
"chr2_196263008_196263522",4,23,23,3,6,24,10,5,32
"chr2_196299760_196300342",11,30,21,10,13,34,12,8,36
"chr2_196400016_196400586",0,12,5,13,8,14,17,8,26
"chr2_196639266_196639968",28,108,94,45,36,91,58,14,113
"chr2_196799406_196800047",8,31,17,15,13,33,23,8,31
"chr2_196985634_196986310",5,26,17,9,10,33,17,7,30
"chr2_197145508_197146179",12,34,30,14,15,45,16,9,32
"chr2_197152279_197152928",18,35,35,13,11,45,22,7,51
"chr2_197198704_197199365",9,43,43,11,16,42,23,8,60
"chr2_197255412_197256010",14,42,29,18,15,43,20,9,47
"chr2_197258537_197259104",4,16,12,11,7,10,11,7,19
"chr2_197434776_197435484",16,51,58,18,35,43,27,7,56
"chr2_197453001_197453752",48,187,159,77,91,165,103,44,192
"chr2_197499658_197500487",47,197,209,74,154,164,117,33,237
"chr2_197515643_197516264",21,60,55,43,31,66,32,16,66
"chr2_197599240_197599819",6,23,24,12,13,29,15,1,38
"chr2_197704961_197705776",10,53,47,24,36,44,25,11,42
"chr2_197804167_197805147",13,49,32,19,29,45,30,5,85
"chr2_197857648_197858220",9,25,22,8,11,25,15,2,25
"chr2_197888906_197889494",9,27,27,14,12,31,14,16,47
"chr2_198106504_198107140",16,70,62,32,25,50,36,16,71
"chr2_198639233_198639989",7,34,14,7,15,24,14,8,42
"chr2_198905910_198906516",11,38,38,15,22,31,29,10,45
"chr2_198913489_198914178",13,31,32,6,16,36,19,5,38
"chr2_199228992_199229613",34,109,74,23,31,88,38,12,102
"chr2_199455530_199456679",25,94,74,36,36,56,40,9,87
"chr2_199463143_199463881",15,31,27,9,14,20,6,4,39
"chr2_199850940_199851498",8,23,18,11,8,9,7,5,32
"chr2_199910854_199911850",23,99,66,37,47,66,54,16,108
"chr2_199955200_199956012",19,56,53,18,22,37,37,4,59
"chr2_200509758_200510359",9,30,15,9,11,25,13,1,31
"chr2_200525775_200526411",13,82,71,33,41,69,35,14,71
"chr2_200712929_200713497",10,42,28,15,23,34,26,4,53
"chr2_200811104_200812508",22,73,69,29,41,52,34,18,92
"chr2_200864012_200865168",14,40,21,23,17,23,16,3,38
"chr2_200889018_200889615",11,46,34,18,23,30,25,12,29
"chr2_200962971_200964067",24,76,60,25,30,47,33,14,57
"chr2_201071399_201071943",7,54,35,16,27,33,27,6,54
"chr2_201116390_201117041",12,32,19,17,13,17,15,8,38
"chr2_201118073_201118778",11,47,28,9,12,29,16,4,38
"chr2_201157634_201158498",12,42,25,13,26,24,21,5,50
"chr2_201257413_201258721",11,63,35,29,23,32,23,8,47
"chr2_201451218_201451879",15,81,48,26,33,53,28,5,71
"chr2_201780592_201781464",13,41,29,20,28,34,23,4,47
"chr2_201787426_201787992",16,30,19,18,10,35,17,4,37
"chr2_202265388_202266021",7,30,21,18,16,21,16,5,27
"chr2_202375790_202376492",17,38,25,9,18,20,20,6,28
"chr2_202634529_202635211",14,71,55,39,35,52,34,5,76
"chr2_202911438_202912798",25,65,44,24,31,48,35,8,59
"chr2_203014368_203014963",17,79,85,38,48,73,47,14,96
"chr2_203238555_203239488",34,91,88,35,44,86,36,11,110
"chr2_203811502_203812036",8,25,22,19,19,22,29,6,26
"chr2_203891263_203891847",5,34,17,10,8,20,9,7,22
"chr2_204145139_204145787",14,29,25,17,15,26,16,5,29
"chr2_204256861_204257508",9,28,24,5,10,18,20,4,29
"chr2_205546245_205546897",16,55,42,11,25,27,23,5,42
"chr2_205706682_205707273",10,38,32,10,11,21,16,6,30
"chr2_205868666_205869253",13,51,26,18,20,50,21,10,54
"chr2_205944424_205945129",15,51,43,19,30,58,42,12,68
"chr2_206085643_206086499",13,51,32,22,29,46,17,8,62
"chr2_206159231_206160112",32,118,99,35,59,77,37,17,110
"chr2_206764995_206765880",28,49,63,34,29,56,34,7,64
"chr2_207143356_207143857",5,21,6,6,10,7,6,2,11
"chr2_207165928_207167570",46,165,101,58,77,110,78,30,179
"chr2_207238949_207239606",12,60,34,15,20,34,34,8,54
"chr2_207529367_207530148",30,118,102,45,54,105,53,19,141
"chr2_207619581_207620138",6,14,13,14,14,21,18,3,29
"chr2_207624185_207626296",39,183,137,69,72,114,78,19,165
"chr2_207710858_207711871",22,101,83,56,39,79,55,13,120
"chr2_207769108_207770404",27,114,54,39,34,57,38,13,111
"chr2_208025316_208025947",9,42,46,13,23,49,23,6,48
"chr2_208031432_208032071",2,5,7,9,3,11,9,6,18
"chr2_208254938_208255746",19,60,49,27,25,52,32,12,62
"chr2_208265735_208266425",34,119,114,43,51,118,50,27,153
"chr2_208359051_208359986",59,231,185,64,97,187,126,45,242
"chr2_208491538_208492079",7,14,9,10,10,16,11,3,9
"chr2_208820377_208820568",0,3,7,3,3,5,7,5,7
"chr2_209146234_209146823",13,60,52,12,27,37,33,11,64
"chr2_209423397_209424154",9,32,24,9,11,23,14,7,26
"chr2_209472356_209473299",17,58,75,23,40,63,45,12,93
"chr2_209619699_209620280",39,141,135,36,64,121,86,29,184
"chr2_209821745_209822306",4,24,12,6,16,13,12,6,18
"chr2_209985757_209986576",10,52,64,20,21,57,38,7,79
"chr2_210002224_210002866",19,98,82,33,44,89,59,13,124
"chr2_210170261_210171798",53,167,131,61,70,117,64,30,160
"chr2_210224849_210225423",2,25,21,7,10,17,7,3,26
"chr2_210421806_210422375",9,36,38,10,21,34,21,12,55
"chr2_210476462_210477061",16,72,52,22,22,52,31,15,69
"chr2_210477530_210477738",4,12,9,4,4,12,4,1,9
"chr2_210496393_210496921",8,18,21,4,8,21,15,8,26
"chr2_210586301_210586880",4,22,16,9,5,15,13,6,25
"chr2_211709304_211709832",0,39,37,9,18,36,31,13,59
"chr2_211926089_211927047",14,70,58,31,30,68,37,17,112
"chr2_212158104_212158630",5,14,9,2,6,17,6,6,17
"chr2_212815364_212815924",5,25,43,9,14,33,14,7,45
"chr2_212904458_212905038",9,27,32,12,21,19,24,1,42
"chr2_212957557_212958159",18,48,51,11,21,41,26,15,56
"chr2_212974593_212975217",4,20,11,8,10,19,10,6,20
"chr2_213083039_213083602",12,30,19,9,10,22,14,8,18
"chr2_213151343_213152186",17,80,64,26,45,68,45,12,99
"chr2_213232954_213233523",7,34,34,11,14,33,26,6,52
"chr2_213284026_213284873",17,67,55,23,24,51,28,11,56
"chr2_214341559_214342162",5,27,33,13,20,23,24,11,33
"chr2_214550720_214551226",8,39,25,11,16,24,14,3,28
"chr2_214809191_214810423",77,295,273,93,102,188,122,37,259
"chr2_215311694_215312492",31,113,76,25,39,86,36,15,103
"chr2_215396575_215397347",10,38,25,18,15,22,24,5,48
"chr2_215680793_215681592",8,56,28,18,18,38,27,6,61
"chr2_215700842_215701344",5,22,17,5,9,19,23,6,32
"chr2_215728418_215729083",11,45,31,15,11,25,19,9,44
"chr2_215773743_215774266",7,20,20,9,12,17,15,4,34
"chr2_215793614_215794322",32,107,98,26,38,117,65,27,146
"chr2_215811488_215812017",8,28,28,15,12,19,16,2,40
"chr2_215828493_215828992",2,26,16,7,10,12,17,5,27
"chr2_216108894_216109574",21,68,86,24,34,47,22,16,71
"chr2_216114569_216115204",26,67,55,31,52,52,38,22,67
"chr2_216205409_216205972",6,10,5,7,6,9,13,9,11
"chr2_216412139_216412945",36,119,75,52,59,71,47,12,98
"chr2_216486516_216487141",7,22,11,9,11,13,11,6,21
"chr2_216498530_216499260",8,34,37,15,30,29,12,5,48
"chr2_216683788_216684386",9,35,26,9,16,30,15,12,48
"chr2_216777548_216778128",12,34,15,2,7,22,15,3,19
"chr2_217218652_217219245",10,24,21,13,19,19,10,5,38
"chr2_217223301_217223922",10,27,20,5,8,13,12,5,24
"chr2_218125415_218126038",7,25,11,17,11,19,10,0,12
"chr2_218269953_218270691",29,127,110,57,91,81,69,26,124
"chr2_218286305_218287134",6,32,16,10,14,13,9,4,21
"chr2_218322661_218323537",11,29,18,18,14,22,20,1,30
"chr2_218332816_218333845",11,64,41,29,16,31,18,11,60
"chr2_218395714_218396540",14,60,44,19,27,41,23,13,61
"chr2_218405953_218406934",12,46,41,14,24,33,30,10,53
"chr2_218568053_218568920",29,73,74,41,75,64,64,11,82
"chr2_218659366_218659901",10,23,27,14,20,44,18,5,47
"chr2_218710584_218711186",4,47,41,17,28,37,23,17,50
"chr2_218733540_218734144",8,24,19,8,18,19,18,6,53
"chr2_219160053_219161145",20,70,39,30,40,56,38,5,45
"chr2_219177828_219178458",6,26,34,13,7,26,13,6,26
"chr2_219206224_219207144",11,52,29,20,17,30,19,9,40
"chr2_219229409_219230007",22,77,60,26,36,57,27,8,59
"chr2_219253663_219254242",8,17,20,9,13,21,5,4,22
"chr2_219278825_219279635",16,50,35,30,35,50,23,11,73
"chr2_219294469_219295292",13,45,19,9,16,17,8,5,14
"chr2_219387504_219388900",26,84,70,37,52,66,48,13,90
"chr2_219498260_219499141",13,76,56,37,46,62,39,13,87
"chr2_219543549_219544268",15,61,36,16,26,43,23,9,51
"chr2_219597476_219598379",33,92,70,33,45,54,38,22,84
"chr2_219607775_219608543",19,28,22,16,25,23,13,9,29
"chr2_219642409_219642994",7,48,49,15,13,35,21,10,43
"chr2_219717920_219718592",15,25,24,13,14,26,29,7,29
"chr2_221572817_221573909",17,69,51,20,24,41,31,9,38
"chr2_221757987_221758533",5,40,37,12,14,27,19,7,46
"chr2_222358738_222359384",12,44,41,12,14,36,26,5,51
"chr2_222404401_222404998",13,36,28,11,15,17,13,2,31
"chr2_222655799_222656615",23,68,41,24,33,39,27,6,67
"chr2_222805624_222806473",8,24,14,4,10,13,12,4,16
"chr2_222860653_222861469",11,62,47,24,18,49,42,10,59
"chr2_222912086_222912658",9,28,20,19,15,28,14,12,49
