Chromosome/scaffold name	Gene name	Gene % GC content	Entrezgene	Gene start (bp)	Gene end (bp)	 type
4	SGMS2	38.02	166929	107824563	107915047	protein_coding
5	MIER3	38.91	166968	56919602	56971675	protein_coding
5	UGT3A2	41.69	167127	36035021	36071358	protein_coding
5	TENT2	36.26	167153	79612120	79688246	protein_coding
5	DCP2	37.78	167227	112976702	113022195	protein_coding
5	NIM1K	42.72	167359	43192071	43280850	protein_coding
2	DES	55.28	1674	219418377	219426735	protein_coding
5	LIX1	39.26	167410	97091867	97142753	protein_coding
5	ZNF366	42.35	167465	72439903	72507410	protein_coding
HSCHR19_5_CTG2	CFD	66.14	1675	38523	42509	protein_coding
19	CFD	63.39	1675	859453	867884	protein_coding
5	FAM151B	38.99	167555	80487969	80542563	protein_coding
1	DFFA	48.53	1676	10456522	10472529	protein_coding
6	PRSS35	39.67	167681	83512534	83525704	protein_coding
6	LCA5	34.98	167691	79484991	79537458	protein_coding
1	DFFB	51.66	1677	3857267	3885429	protein_coding
X	TIMM8A	43.74	1678	101345661	101348742	protein_coding
6	TXLNB	40.25	167838	139240061	139291998	protein_coding
7	ZNF92	39.16	168374	65373799	65401136	protein_coding
X	DDX53	38.21	168400	22999960	23003589	protein_coding
7	CDC14C	43.91	168448	48924547	48927454	protein_coding
7	THAP5	39.20	168451	108554543	108569750	protein_coding
7	CCDC71L	40.48	168455	106654360	106661158	protein_coding
7	PKD1L1	44.10	168507	47740202	47948466	protein_coding
7	GIMAP7	35.86	168537	150514872	150521073	protein_coding
7	ZNF467	59.66	168544	149764182	149773588	protein_coding
7	BHLHA15	63.65	168620	98211439	98215457	protein_coding
7	BMPER	40.62	168667	33904308	34156427	protein_coding
7	GSDME	45.72	1687	24698355	24757940	protein_coding
7	ZNF800	37.80	168850	127346790	127431924	protein_coding
14	COCH	39.92	1690	30874514	30895065	protein_coding
8	SLC30A8	38.63	169026	116950273	117176714	protein_coding
8	TMEM64	38.54	169200	90621995	90791632	protein_coding
8	ZNF596	40.95	169270	232137	264703	protein_coding
8	IDO2	41.79	169355	39934614	40016392	protein_coding
HG2030_PATCH	STKLD1	54.49	169436	202460	232190	protein_coding
9	STKLD1	54.49	169436	133376366	133406096	protein_coding
9	KCNV2	41.90	169522	2717510	2730037	protein_coding
9	OLFML2A	52.21	169611	124777133	124814885	protein_coding
9	TMEM252	44.03	169693	68536580	68540883	protein_coding
9	QSOX2	54.54	169714	136206333	136245812	protein_coding
9	GLIS3	40.19	169792	3824127	4348392	protein_coding
9	ZNF883	38.50	169834	112988129	113012192	protein_coding
9	ZNF169	41.58	169841	94259298	94301829	protein_coding
X	SPIN3	39.64	169981	56818298	56995827	protein_coding
X	TCEANC	41.45	170082	13653112	13681964	protein_coding
X	ZCCHC12	51.76	170261	118823824	118826968	protein_coding
10	FAM170B	49.79	170370	49131154	49134021	protein_coding
10	TMEM273	47.39	170371	49154725	49188585	protein_coding
10	FUT11	47.53	170384	73772276	73780251	protein_coding
10	PWWP2B	62.26	170394	132397168	132417859	protein_coding
10	LINC00858	40.69	170425	84267747	84294659	lncRNA
19	SSBP4	64.53	170463	18418864	18434562	protein_coding
12	CLEC4C	45.16	170482	7729383	7751605	protein_coding
20	ACTL10	68.04	170487	33666943	33668525	protein_coding
HSCHR3_2_CTG2_1	DHX36	34.84	170506	1181	9497	protein_coding
3	DHX36	35.49	170506	154272546	154324487	protein_coding
7	GIMAP1	45.70	170575	150716606	150724284	protein_coding
11	GPHA2	57.70	170589	64934471	64935893	protein_coding
5	S100Z	43.71	170591	76850001	76921650	protein_coding
13	COMMD6	39.99	170622	75525214	75549439	protein_coding
X	NUDT10	46.89	170685	51332231	51337525	protein_coding
5	ADAMTS16	42.24	170690	5140330	5320304	protein_coding
15	ADAMTS17	46.61	170691	99971437	100342005	protein_coding
2	KCNG3	42.34	170850	42442017	42493982	protein_coding
HSCHR6_MHC_MANN_CTG1	PPP1R18	56.10	170954	1986642	1998148	protein_coding
HSCHR6_MHC_DBB_CTG1	PPP1R18	56.10	170954	1932243	1943749	protein_coding
HSCHR6_MHC_COX_CTG1	PPP1R18	56.09	170954	2156133	2167639	protein_coding
HSCHR6_MHC_APD_CTG1	PPP1R18	56.10	170954	2005896	2017402	protein_coding
HSCHR6_MHC_MCF_CTG1	PPP1R18	56.10	170954	2020466	2031972	protein_coding
HSCHR6_MHC_QBL_CTG1	PPP1R18	56.11	170954	1931503	1943009	protein_coding
HSCHR6_MHC_SSTO_CTG1	PPP1R18	51.22	170954	1977172	1980172	protein_coding
6	PPP1R18	56.10	170954	30676389	30687895	protein_coding
19	ZNF525	43.64	170958	53365693	53392217	protein_coding
19	ZNF431	39.12	170959	21142024	21196053	protein_coding
4	ZNF721	41.11	170960	425815	499156	protein_coding
19	ANKRD24	53.64	170961	4182689	4224814	protein_coding
12	ZNF384	46.35	171017	6666477	6689572	protein_coding
20	ASXL1	42.17	171023	32358330	32439319	protein_coding
4	SYNPO2	38.36	171024	118850688	119061247	protein_coding
12	DSTNP2	46.24	171220	6884682	6885786	lncRNA
13	UBE2L5	43.08	171222	30422488	30429758	protein_coding
11	NLRP6	63.52	171389	278407	285388	protein_coding
11	GATD1-DT	57.90	171391	777574	785231	lncRNA
19	ZNF675	41.44	171392	23525631	23687220	protein_coding
13	CLYBL	43.25	171425	99606669	99909459	protein_coding
X	FAM9C	39.44	171484	13035617	13044682	protein_coding
19	CYP2T1P	58.12	171523	40808474	40811097	lncRNA
14	SPTSSA	41.75	171546	34432788	34462240	protein_coding
6	PTCRA	50.96	171558	42915989	42925838	protein_coding
22	POLR3H	55.14	171568	41525799	41544606	protein_coding
18	ABHD3	42.44	171586	21650901	21704780	protein_coding
2	DGUOK	42.81	1716	73926826	73958961	protein_coding
11	DHCR7	51.71	1717	71428193	71452868	protein_coding
1	DHCR24	47.67	1718	54849627	54887195	protein_coding
5	DHFR	41.24	1719	80626226	80654983	protein_coding
16	AFG3L1P	50.99	172	89972581	90002161	lncRNA
16	DHODH	50.04	1723	72008588	72027664	protein_coding
19	DHPS	54.72	1725	12675717	12681880	protein_coding
22	CYB5R3	52.93	1727	42615730	42720870	protein_coding
16	NQO1	46.90	1728	69706996	69726668	protein_coding
5	DIAPH1	41.24	1729	141515016	141619055	protein_coding
X	DIAPH2	37.00	1730	96684712	97604997	protein_coding
16	SEPTIN1	52.75	1731	30378135	30395991	protein_coding
1	DIO1	47.96	1733	53891239	53911086	protein_coding
14	DIO2	37.62	1734	80197526	80387757	protein_coding
X	DKC1	45.62	1736	154762742	154777689	protein_coding
11	DLAT	41.14	1737	112025033	112064404	protein_coding
7	DLD	36.56	1738	107891162	107931730	protein_coding
3	DLG1	36.59	1739	197042560	197299330	protein_coding
11	DLG2	37.02	1740	83455012	85628335	protein_coding
X	DLG3	46.89	1741	70444835	70505490	protein_coding
17	DLG4	54.54	1742	7187187	7219841	protein_coding
14	DLST	44.92	1743	74881891	74903743	protein_coding
17	DLX3	57.41	1747	49990005	49995224	protein_coding
17	DLX4	59.65	1748	49968588	49974959	protein_coding
4	AGA	39.69	175	177430774	177442437	protein_coding
10	DMBT1	49.13	1755	122560665	122643736	protein_coding
X	DMD	36.42	1756	31097677	33339609	protein_coding
9	SARDH	56.35	1757	133663560	133739955	protein_coding
9	DNM1	54.26	1759	128191655	128255248	protein_coding
15	ACAN	50.27	176	88803436	88875353	protein_coding
19	DMPK	59.05	1760	45769709	45782552	protein_coding
19	DMWD	57.64	1762	45782947	45792845	protein_coding
10	DNA2	42.26	1763	68414064	68472121	protein_coding
5	DNAH5	39.64	1767	13690328	14011818	protein_coding
2	DNAH6	38.37	1768	84516455	84819589	protein_coding
6	DNAH8	39.11	1769	38715311	39030792	protein_coding
HSCHR6_MHC_MANN_CTG1	AGER	56.63	177	3485949	3489305	protein_coding
HSCHR6_MHC_COX_CTG1	AGER	56.72	177	3619320	3622676	protein_coding
HSCHR6_MHC_APD_CTG1	AGER	56.60	177	3513570	3516926	protein_coding
HSCHR6_MHC_QBL_CTG1	AGER	56.63	177	3404169	3407525	protein_coding
HSCHR6_MHC_MCF_CTG1	AGER	56.60	177	3522987	3526343	protein_coding
HSCHR6_MHC_SSTO_CTG1	AGER	56.63	177	3497175	3500531	protein_coding
6	AGER	56.66	177	32180968	32184322	protein_coding
16	DNASE1	49.35	1773	3611728	3680143	protein_coding
X	DNASE1L1	54.46	1774	154401236	154412112	protein_coding
16	DNASE1L2	68.65	1775	2235816	2238711	protein_coding
3	DNASE1L3	46.13	1776	58192257	58214697	protein_coding
19	DNASE2	52.81	1777	12875209	12881595	protein_coding
14	DYNC1H1	47.38	1778	101964573	102056443	protein_coding
1	AGL	36.33	178	99850361	99924023	protein_coding
7	DYNC1I1	38.59	1780	95772506	96110322	protein_coding
HSCHR2_11_CTG7_2	DYNC1I2	36.36	1781	117582	180331	protein_coding
2	DYNC1I2	36.36	1781	171687409	171750158	protein_coding
16	DYNC1LI2	44.86	1783	66720893	66751609	protein_coding
19	DNM2	53.08	1785	10718055	10833488	protein_coding
19	DNMT1	50.43	1786	10133342	10231286	protein_coding
10	TRDMT1	36.91	1787	17137336	17202054	protein_coding
2	DNMT3A	53.43	1788	25227855	25342590	protein_coding
20	DNMT3B	49.40	1789	32762385	32809359	protein_coding
10	DNTT	42.58	1791	96304409	96338564	protein_coding
10	DOCK1	45.16	1793	126905409	127452517	protein_coding
5	DOCK2	43.39	1794	169637268	170083382	protein_coding
3	DOCK3	40.17	1795	50674927	51384198	protein_coding
2	DOK1	58.43	1796	74549026	74557551	protein_coding
HSCHR6_MHC_COX_CTG1	DXO	58.72	1797	3447237	3449719	protein_coding
HSCHR6_MHC_DBB_CTG1	DXO	58.72	1797	3217585	3220067	protein_coding
HSCHR6_MHC_QBL_CTG1	DXO	58.72	1797	3225780	3228262	protein_coding
HSCHR6_MHC_MCF_CTG1	DXO	58.72	1797	3311846	3314328	protein_coding
HSCHR6_MHC_SSTO_CTG1	DXO	58.72	1797	3270999	3273481	protein_coding
6	DXO	58.73	1797	31969810	31972290	protein_coding
11	DPAGT1	50.63	1798	119096025	119108331	protein_coding
16	ABAT	47.34	18	8674596	8784575	protein_coding
16	DPEP1	59.08	1800	89613308	89638456	protein_coding
17	DPH1	56.23	1801	2030137	2043898	protein_coding
1	DPH2	56.05	1802	43970000	43973369	protein_coding
2	DPP4	39.64	1803	161992245	162074394	protein_coding
1	DPYD	35.10	1806	97077743	97995000	protein_coding
8	DPYS	41.53	1807	104330324	104467055	protein_coding
8	DPYSL2	44.97	1808	26514031	26658178	protein_coding
5	DPYSL3	41.44	1809	147390808	147510068	protein_coding
16	AGRP	61.11	181	67482571	67483547	protein_coding
1	DR1	36.44	1810	93345907	93369493	protein_coding
7	SLC26A3	39.28	1811	107765467	107803225	protein_coding
3	DRD3	41.04	1814	114127580	114199407	protein_coding
17	DRG2	53.56	1819	18087892	18107970	protein_coding
20	JAG1	47.45	182	10637684	10673999	protein_coding
19	ARID3A	58.94	1820	925781	975939	protein_coding
X	DRP2	45.17	1821	101219769	101264502	protein_coding
12	ATN1	55.53	1822	6924463	6942321	protein_coding
18	DSC1	35.20	1823	31129236	31162856	protein_coding
18	DSC2	37.10	1824	31058840	31102522	protein_coding
18	DSC3	36.17	1825	30989365	31042815	protein_coding
21	RCAN1	44.23	1827	34513142	34615113	protein_coding
18	DSG2	39.17	1829	31498177	31549008	protein_coding
18	DSG3	37.48	1830	31447741	31478702	protein_coding
X	TSC22D3	48.75	1831	107713221	107777342	protein_coding
6	DSP	42.53	1832	7541338	7586714	protein_coding
5	SLC26A2	41.16	1836	149960758	149993455	protein_coding
18	DTNA	37.99	1837	34493291	34891844	protein_coding
2	DTNB	41.46	1838	25377198	25673647	protein_coding
5	HBEGF	49.93	1839	140332843	140346603	protein_coding
12	DTX1	53.95	1840	113056730	113098028	protein_coding
2	DTYMK	51.06	1841	241675747	241686944	protein_coding
HG1012_PATCH	ECM2	38.89	1842	328281	371382	protein_coding
9	ECM2	38.89	1842	92493554	92536655	protein_coding
5	DUSP1	53.06	1843	172768096	172771195	protein_coding
2	DUSP2	63.64	1844	96143169	96145440	protein_coding
17	DUSP3	50.90	1845	43766125	43778977	protein_coding
8	DUSP4	51.10	1846	29333064	29350684	protein_coding
10	DUSP5	49.03	1847	110497907	110511533	protein_coding
12	DUSP6	46.40	1848	89347235	89352501	protein_coding
3	DUSP7	59.39	1849	52048919	52056571	protein_coding
3	AGTR1	37.38	185	148697784	148743008	protein_coding
HG152_PATCH	DUSP8	64.56	1850	294027	312247	protein_coding
HSCHR11_1_CTG6	DUSP8	64.12	1850	36281	54157	protein_coding
HSCHR11_2_CTG1_1	DUSP8	64.11	1850	30571	48447	protein_coding
11	DUSP8	64.56	1850	1554051	1572271	protein_coding
15	DUT	39.96	1854	48331011	48343373	protein_coding
1	DVL1	66.32	1855	1335276	1349418	protein_coding
17	DVL2	55.13	1856	7225342	7234517	protein_coding
3	DVL3	52.92	1857	184155377	184173614	protein_coding
21	DYRK1A	39.17	1859	37365573	37526358	protein_coding
9	TOR1A	52.21	1861	129812942	129824244	protein_coding
20	E2F1	55.49	1869	33675477	33686385	protein_coding
11	APLNR	55.23	187	57233577	57237250	protein_coding
HSCHR1_4_CTG3	E2F2	51.65	1870	276417	301212	protein_coding
1	E2F2	51.65	1870	23506438	23531233	protein_coding
6	E2F3	42.72	1871	20401879	20493714	protein_coding
16	E2F4	56.56	1874	67192155	67198918	protein_coding
8	E2F5	39.54	1875	85177154	85217158	protein_coding
2	E2F6	41.96	1876	11444375	11466177	protein_coding
16	E4F1	61.59	1877	2223580	2235742	protein_coding
5	EBF1	39.97	1879	158695920	159099916	protein_coding
13	GPR183	38.07	1880	99294539	99307399	protein_coding
1	ECE1	52.21	1889	21217247	21345572	protein_coding
22	TYMP	64.42	1890	50525752	50530032	protein_coding
HG26_PATCH	ECH1	51.42	1891	225094	241513	protein_coding
19	ECH1	51.42	1891	38815422	38831841	protein_coding
10	ECHS1	55.55	1892	133362485	133373354	protein_coding
1	ECM1	55.19	1893	150508062	150513789	protein_coding
3	ECT2	34.96	1894	172750682	172821474	protein_coding
X	EDA	38.75	1896	69616067	70039472	protein_coding
9	ABCA1	43.42	19	104781006	104928155	protein_coding
1	S1PR1	44.09	1901	101236865	101243713	protein_coding
9	LPAR1	38.26	1902	110873263	111038470	protein_coding
9	S1PR3	49.32	1903	88990863	89005155	protein_coding
6	EDN1	42.83	1906	12290361	12297194	protein_coding
20	EDN3	49.21	1908	59300443	59325992	protein_coding
20	AHCY	50.38	191	34280268	34311802	protein_coding
13	EDNRB	38.12	1910	77895481	77975529	protein_coding
12	PHC1	44.13	1911	8913896	8941467	protein_coding
1	PHC2	45.04	1912	33323623	33431095	protein_coding
6	EEF1A1	42.73	1915	73489308	73525587	protein_coding
21	PLAC4	46.89	191585	41175231	41186788	lncRNA
12	PGAM5	55.09	192111	132710819	132722734	protein_coding
5	HIGD2A	57.47	192286	176388751	176389761	protein_coding
1	AGO3	38.75	192669	35930718	36072500	protein_coding
1	AGO4	41.67	192670	35808016	35857890	protein_coding
15	SCAMP5	48.31	192683	74957219	75021495	protein_coding
HSCHR2_6_CTG7_2	EEF1B2	45.25	1933	268603	271946	protein_coding
2	EEF1B2	45.25	1933	206159585	206162928	protein_coding
HSCHR8_3_CTG7	EEF1D	60.76	1936	69737	87784	protein_coding
8	EEF1D	61.99	1936	143579697	143599541	protein_coding
21	LINC00189	39.07	193629	29193480	29288205	lncRNA
11	EEF1G	47.78	1937	62559596	62574086	protein_coding
19	EEF2	59.53	1938	3976056	3985463	protein_coding
1	EIF2D	46.17	1939	206571292	206612465	protein_coding
1	EFNA1	53.76	1942	155127876	155134899	protein_coding
1	EFNA3	63.30	1944	155078837	155087538	protein_coding
1	EFNA4	54.13	1945	155063737	155069553	protein_coding
5	EFNA5	38.28	1946	107376894	107670937	protein_coding
X	EFNB1	56.39	1947	68829021	68842160	protein_coding
13	EFNB2	41.29	1948	106489745	106535662	protein_coding
4	EGF	39.12	1950	109912883	110013766	protein_coding
3	CELSR3	59.87	1951	48636463	48662886	protein_coding
1	CELSR2	60.19	1952	109249539	109275751	protein_coding
1	MEGF6	62.43	1953	3487951	3611508	protein_coding
19	MEGF8	54.75	1954	42325609	42378769	protein_coding
9	MEGF9	38.18	1955	120600811	120714470	protein_coding
5	EGR1	56.52	1958	138465479	138469303	protein_coding
8	SDR16C5	44.69	195814	56300005	56320776	protein_coding
9	PRXL2C	43.42	195827	96639577	96655317	protein_coding
9	ZNF367	42.89	195828	96385941	96418370	protein_coding
10	EGR2	57.81	1959	62811996	62819167	protein_coding
10	ANTXRL	50.99	195977	46286345	46330207	protein_coding
7	AHR	36.63	196	16916359	17346152	protein_coding
8	EGR3	56.37	1960	22687659	22693480	protein_coding
10	EMX2OS	47.72	196047	117473215	117545068	lncRNA
10	PLPP4	42.25	196051	120457227	120592065	protein_coding
11	METTL15	36.80	196074	28108248	28527041	protein_coding
2	EGR4	65.20	1961	73290929	73293701	protein_coding
3	EHHADH	39.78	1962	185190624	185281990	protein_coding
11	MPZL3	40.95	196264	118226690	118252365	protein_coding
11	IMMP1L	34.91	196294	31432401	31509645	protein_coding
12	RILPL2	48.62	196383	123415039	123436684	protein_coding
HSCHR12_6_CTG2_1	DNAH10	47.07	196385	179	109258	protein_coding
12	DNAH10	46.31	196385	123762188	123935720	protein_coding
12	AMN1	40.53	196394	31671142	31729121	protein_coding
X	EIF1AX	38.56	1964	20124525	20141838	protein_coding
12	DTX3	55.60	196403	57604622	57609804	protein_coding
12	TMT1B	52.33	196410	55681736	55684611	protein_coding
12	LINC02909	39.62	196415	24993424	25006403	lncRNA
12	ZFC3H1	36.14	196441	71609599	71667725	protein_coding
12	MYRFL	39.67	196446	69825227	69959097	protein_coding
12	PLBD2	51.12	196463	113358566	113391629	protein_coding
16	EEF2KMT	53.80	196483	5084284	5097795	protein_coding
14	EIF2S1	37.53	1965	67360328	67386516	protein_coding
12	PIANP	58.46	196500	6693791	6700815	protein_coding
HG1815_PATCH	DCP1B	38.72	196513	288197	346679	protein_coding
12	DCP1B	38.72	196513	1946053	2004535	protein_coding
12	ANO6	39.39	196527	45215987	45482280	protein_coding
12	ARID2	36.08	196528	45729706	45908040	protein_coding
13	METTL21C	43.81	196541	102685747	102695044	protein_coding
12	EIF2B1	45.42	1967	123620406	123633766	protein_coding
10	VSTM4	44.89	196740	49014236	49115522	protein_coding
10	PAOX	52.74	196743	133379261	133391694	protein_coding
10	FAM24B	41.03	196792	122849078	122879641	protein_coding
X	EIF2S3	41.35	1968	24054946	24078810	protein_coding
14	LINC00638	59.13	196872	104821201	104823718	lncRNA
HG1_PATCH	ADCY4	54.43	196883	619327	636071	protein_coding
14	ADCY4	54.43	196883	24318349	24335093	protein_coding
1	EPHA2	57.33	1969	16124337	16156069	protein_coding
14	LINC01588	45.21	196913	49927571	50105102	lncRNA
15	FAM227B	36.14	196951	49326962	49620929	protein_coding
15	GRAMD2A	49.41	196996	72159806	72197787	protein_coding
15	LCTL	44.84	197021	66547179	66565998	protein_coding
15	UBR1	39.81	197131	42942897	43106113	protein_coding
HSCHR15_3_CTG8	PATL2	53.54	197135	34369	34665	lncRNA
15	PATL2	42.91	197135	44665732	44711323	protein_coding
16	SNAI3-AS1	55.31	197187	88663298	88687282	lncRNA
16	LDHD	62.41	197257	75111860	75116780	protein_coding
16	FCSK	55.18	197258	70454595	70480274	protein_coding
16	MLKL	45.73	197259	74671855	74700960	protein_coding
17	EIF4A1	52.64	1973	7572824	7579006	protein_coding
16	ZNF778	48.95	197320	89217703	89237141	protein_coding
16	ACSF3	55.16	197322	89088375	89164121	protein_coding
16	WDR90	64.60	197335	649311	667833	protein_coding
16	EME2	64.46	197342	1772810	1781708	protein_coding
16	NLRC3	51.01	197358	3539033	3577403	protein_coding
16	NSMCE1	47.27	197370	27224994	27268772	protein_coding
3	EIF4A2	41.92	1974	186783205	186789897	protein_coding
16	ZNF48	53.07	197407	30378106	30400108	protein_coding
12	EIF4B	42.71	1975	53006282	53042215	protein_coding
4	EIF4E	39.01	1977	98879276	98929133	protein_coding
8	EIF4EBP1	49.17	1978	38030534	38060365	protein_coding
10	EIF4EBP2	43.97	1979	70404145	70428618	protein_coding
3	EIF4G1	52.77	1981	184314495	184335358	protein_coding
11	EIF4G2	41.39	1982	10797050	10808940	protein_coding
14	EIF5	44.94	1983	103333544	103345025	protein_coding
HG2087_PATCH	EIF5A	55.30	1984	65364	70828	protein_coding
17	EIF5A	55.30	1984	7306999	7312463	protein_coding
HSCHR6_MHC_DBB_CTG1	AIF1	53.92	199	2862951	2864788	protein_coding
HSCHR6_MHC_COX_CTG1	AIF1	53.97	199	3092473	3094310	protein_coding
HSCHR6_MHC_QBL_CTG1	AIF1	53.97	199	2871006	2872843	protein_coding
HSCHR6_MHC_MCF_CTG1	AIF1	53.97	199	2957070	2958907	protein_coding
HSCHR6_MHC_SSTO_CTG1	AIF1	53.97	199	2914470	2916307	protein_coding
6	AIF1	53.91	199	31615217	31617021	protein_coding
12	CELA1	46.90	1990	51328442	51346679	protein_coding
HSCHR19_5_CTG2	ELANE	58.58	1991	29849	35133	protein_coding
19	ELANE	58.58	1991	851014	856247	protein_coding
6	SERPINB1	43.07	1992	2832332	2841959	protein_coding
3	DZIP1L	45.71	199221	138061990	138115818	protein_coding
3	TTC21A	49.23	199223	39107680	39138903	protein_coding
19	ELAVL1	52.21	1994	7958573	8005659	protein_coding
1	ELAVL4	39.86	1996	50024029	50203772	protein_coding
19	MCEMP1	54.63	199675	7677088	7679829	protein_coding
19	ZNF627	48.22	199692	11559374	11619161	protein_coding
13	ELF1	38.79	1997	40931924	41061440	protein_coding
19	ZNF585A	40.77	199704	37106734	37172741	protein_coding
HSCHR19LRC_COX1_CTG3_1	NLRP7	49.79	199713	826907	850903	protein_coding
HSCHR19LRC_LRC_S_CTG3_1	NLRP7	49.79	199713	905581	929577	protein_coding
HSCHR19LRC_COX2_CTG3_1	NLRP7	49.80	199713	568712	592707	protein_coding
HSCHR19LRC_LRC_T_CTG3_1	NLRP7	49.79	199713	841874	865870	protein_coding
HSCHR19LRC_LRC_I_CTG3_1	NLRP7	49.79	199713	903495	927491	protein_coding
HSCHR19LRC_LRC_J_CTG3_1	NLRP7	49.79	199713	931032	955028	protein_coding
HSCHR19LRC_PGF2_CTG3_1	NLRP7	49.79	199713	635670	659666	protein_coding
HSCHR19LRC_PGF1_CTG3_1	NLRP7	49.79	199713	827859	851863	protein_coding
HSCHR19_4_CTG3_1	NLRP7	49.67	199713	905991	948794	protein_coding
19	NLRP7	49.67	199713	54923509	54966312	protein_coding
19	GGN	64.94	199720	38384267	38388082	protein_coding
19	CADM4	53.31	199731	43622368	43639850	protein_coding
19	THAP8	48.98	199745	36034984	36054739	protein_coding
19	U2AF1L4	55.84	199746	35742464	35745445	protein_coding
19	ZNF626	38.61	199777	20619939	20661596	protein_coding
19	NIBAN3	52.51	199786	17523301	17553839	protein_coding
4	ELF2	39.88	1998	139028112	139177218	protein_coding
19	ADM5	65.27	199800	49689594	49690575	protein_coding
1	ALG14	40.49	199857	94974405	95072951	protein_coding
1	FAM76A	43.38	199870	27725961	27763116	protein_coding
1	ELF3	54.80	1999	202007945	202017183	protein_coding
1	TMEM201	59.34	199953	9588911	9614877	protein_coding
1	FAAP20	60.96	199990	2184461	2212720	protein_coding
12	A2M	37.18	2	9067664	9116229	protein_coding
9	ABCA2	66.66	20	137007234	137028915	protein_coding
X	ELF4	51.68	2000	130063955	130110716	protein_coding
1	CDCP2	49.48	200008	54132687	54153770	protein_coding
1	SLC5A9	48.99	200010	48222685	48248644	protein_coding
1	CC2D1B	51.23	200014	52345723	52366205	protein_coding
1	NBPF11	45.41	200030	148102047	148152322	protein_coding
1	NUDT17	53.98	200035	145845630	145848954	protein_coding
1	TXLNA	50.29	200081	32179675	32198285	protein_coding
11	ELF5	45.41	2001	34478791	34525193	protein_coding
1	DYNLT5	37.26	200132	66752459	66779047	protein_coding
1	PLD5	40.38	200150	242082986	242524697	protein_coding
1	SPMIP3	44.83	200159	244352635	244389663	protein_coding
1	SPAG17	37.52	200162	117953590	118185228	protein_coding
1	SLFNL1	57.31	200172	41015589	41023237	protein_coding
1	KRTCAP2	50.64	200185	155169408	155173475	protein_coding
1	CRTC2	53.18	200186	153947669	153958615	protein_coding
1	TMEM51-AS1	49.51	200197	15111815	15153618	lncRNA
X	ELK1	49.22	2002	47635521	47650604	protein_coding
1	IBA57	54.58	200205	228165804	228182257	protein_coding
20	FAM209A	48.82	200232	56517187	56526152	protein_coding
20	LINC00656	52.93	200261	23125068	23132635	lncRNA
22	LINC00528	54.86	200298	17777322	17779481	lncRNA
22	RNF215	53.32	200312	30368811	30421771	protein_coding
HSCHR22_1_CTG2	APOBEC3A	55.24	200315	68449	78547	protein_coding
22	APOBEC3A	55.22	200315	38952741	38963184	protein_coding
22	APOBEC3F	53.18	200316	39040604	39055972	protein_coding
12	ELK3	45.12	2004	96194375	96269824	protein_coding
2	VWA3B	41.92	200403	98087116	98313299	protein_coding
2	CREG2	44.91	200407	101345550	101387503	protein_coding
HG2052_PATCH	ALMS1P1	41.93	200420	310581	367007	lncRNA
2	ALMS1P1	41.93	200420	73641083	73697509	lncRNA
2	TET3	47.03	200424	73984910	74108176	protein_coding
1	ELK4	41.89	2005	205597556	205632011	protein_coding
2	ANKRD23	51.56	200539	96824526	96857934	protein_coding
2	APLF	37.87	200558	68467572	68655862	protein_coding
2	PIKFYVE	37.09	200576	208266255	208358746	protein_coding
7	ELN	54.95	2006	74027789	74069907	protein_coding
2	KRTCAP3	53.33	200634	27442366	27446481	protein_coding
2	TMEM17	39.28	200728	62500218	62511894	protein_coding
2	SPRED2	43.76	200734	65310851	65432637	protein_coding
2	TIGD1	49.47	200765	232543883	232550557	protein_coding
2	UICLM	62.94	200772	240954617	240967451	lncRNA
3	CFAP20DC	38.65	200844	58717365	59050084	protein_coding
3	KCTD6	40.85	200845	58492096	58502360	protein_coding
3	LIPH	43.66	200879	185506262	185552588	protein_coding
3	ARL13B	36.20	200894	93980139	94055678	protein_coding
3	DHFR2	35.09	200895	94047836	94063389	protein_coding
3	RPL22L1	39.31	200916	170864875	170870208	protein_coding
3	SLC51A	49.17	200931	196211487	196243178	protein_coding
3	FBXO45	41.25	200933	196568611	196589059	protein_coding
3	KLHDC8B	58.07	200942	49171598	49176486	protein_coding
HSCHR3_3_CTG3	MUC20	50.24	200958	53608	73319	protein_coding
HSCHR3_5_CTG3	MUC20	50.24	200958	53608	73318	protein_coding
HSCHR3_8_CTG3	MUC20	50.27	200958	53724	73536	protein_coding
HSCHR3_7_CTG3	MUC20	50.26	200958	53612	73313	protein_coding
HSCHR3_1_CTG3	MUC20	50.62	200958	91379	111620	protein_coding
HSCHR3_4_CTG3	MUC20	50.62	200958	54921	75162	protein_coding
HSCHR3_6_CTG3	MUC20	50.62	200958	91379	111620	protein_coding
3	MUC20	50.62	200958	195720884	195741123	protein_coding
3	GABRR3	38.47	200959	97985102	98035315	protein_coding
X	EMD	61.82	2010	154379273	154381574	protein_coding
11	MARK2	49.65	2011	63838928	63911020	protein_coding
17	CEP112	37.96	201134	65635537	66192133	protein_coding
17	TVP23C	42.63	201158	15502264	15563595	protein_coding
17	CENPV	48.01	201161	16342534	16353656	protein_coding
17	FLCN	53.29	201163	17212212	17237188	protein_coding
17	PLD6	55.95	201164	17200995	17206333	protein_coding
HSCHR17_2_CTG5	ARHGAP27	54.68	201176	84405	124926	protein_coding
HSCHR17_1_CTG5	ARHGAP27	54.74	201176	84423	124856	protein_coding
17	ARHGAP27	54.68	201176	45393902	45434421	protein_coding
17	ZNF385C	53.08	201181	42025576	42098479	protein_coding
